source_file,model,segment_id,maxcpu,avgcpu,p95maxcpu,vmcorecountbucket,vmmemorybucket,lifetime,corehour,allocated_gpu_hour,avg_power_W,measured_energy_Wh,power_saving_index
resnet50_trace1.csv,resnet50,1,100.0,83.20058330594807,100.0,2,32,0.37384555551740856,0.6220833657076917,0.7476911110348171,170.63735253039636,127.58403169749181,10.71668655996647
resnet50_trace1.csv,resnet50,2,100.0,83.4407246138679,100.0,2,32,0.3742630555232366,0.6245756109811826,0.7485261110464732,171.40343945119966,128.2999499523961,10.622771016443465
resnet50_trace1.csv,resnet50,3,100.0,83.32767827801511,100.0,2,32,0.37433722224500443,0.6238530324543514,0.7486744444900089,171.9604765034514,128.7424142204587,10.732174745742645
resnet50_trace1.csv,resnet50,4,100.0,82.76002300361485,100.0,2,32,0.37414972225824994,0.6192927924177775,0.7482994445164999,170.52613498192557,127.60461208252057,10.999502884676529
resnet50_trace2.csv,resnet50,0,100.0,78.84683242905656,100.0,2,32,0.38270916667249466,0.6035081106738013,0.7654183333449893,121.16943986884715,92.74531071675888,9.809285495054086
resnet50_trace2.csv,resnet50,1,100.0,89.90265037667356,100.0,2,32,0.3830022221803665,0.6886582974834107,0.766004444360733,133.54346383543404,102.2948868132693,5.164536184160926
resnet50_trace2.csv,resnet50,2,100.0,89.96709473437683,100.0,2,32,0.3830291666587194,0.6892004264562884,0.7660583333174388,133.59435301924347,102.3410674145432,5.133891170764332
resnet50_trace2.csv,resnet50,3,100.0,90.59840736981809,100.0,2,32,0.38330805553330316,0.6945419872667812,0.7666161110666063,134.62113787180897,103.20273318264762,4.851350278523049
resnet50_trace2.csv,resnet50,4,100.0,89.57026309626045,100.0,2,32,0.3834019444386164,0.686828260699694,0.7668038888772328,133.09613592005638,102.05863461803199,5.322223539104796
resnet50_trace3.csv,resnet50,0,100.0,78.77660215053764,99.0,2,32,0.345103888909022,0.5437222351437874,0.690207777818044,175.3181608602157,121.00595821847585,12.84078796713066
resnet50_trace3.csv,resnet50,1,100.0,93.7770752688172,99.0,2,32,0.3450683333476384,0.6471899813845359,0.6901366666952768,205.10856903225758,141.55294414256034,4.40436658438238
resnet50_trace3.csv,resnet50,2,100.0,92.66408602150538,99.0,2,32,0.3450402777724796,0.6394568396078631,0.6900805555449592,203.11977204301135,140.16900513360673,5.141338820556544
resnet50_trace3.csv,resnet50,3,100.0,92.55806451612904,99.0,2,32,0.34500611113177404,0.6386619578518705,0.6900122222635481,202.87383741935463,139.98542739686263,5.208812596847774
resnet50_trace3.csv,resnet50,4,100.0,93.31410752688173,99.0,2,32,0.3451797222428852,0.6442027543494351,0.6903594444857704,204.19744172043104,140.96963243153223,4.712539022061153
unlabeled_gpu_trace1.csv,unlabeled,0,50.0,35.16897482368701,43.0,1,4,2.952841666671965,1.0384841423352034,2.952841666671965,62.37276249950837,184.17689197398292,119.40376720460364
