S,context_noise_level,trust_scale_mult,gate_scale_mult,gate_mode,trust_floor,policy_label,n,mean_reward_pct_oracle,mean_transition_l1_error,mean_off_support_leakage,mean_top1_agreement,mean_top2_agreement,mean_cum_regret
20,0.0,1.0,1.0,deterministic,0.1,oracle,10,100.0,0.23109631490183405,0.025997707150988175,1.0,1.0,0.0
20,0.0,1.0,1.0,deterministic,0.1,state_thompson,10,62.71239995014042,0.23343832370832943,0.026050721631356438,0.37,0.6110000000000001,329648.6528017862
20,0.0,1.0,1.0,deterministic,0.1,tm_tw_dense,10,63.19525054830065,0.2336972614083376,0.025268314982687307,0.42400000000000004,0.661,336810.07009038335
20,0.0,1.0,1.0,deterministic,0.1,tm_tw_gated_offline,10,68.21887729463126,0.1597937222174978,0.019052956166273387,0.45899999999999996,0.702,285857.30138761026
20,0.0,1.0,1.0,deterministic,0.1,tm_tw_offline,10,56.11325167552949,0.15690985058704593,0.018459292022138456,0.361,0.666,409951.2949907932
20,0.0,1.0,1.0,deterministic,0.1,tm_tw_refined_dense,10,85.54878275594878,0.2366485521801497,0.02729856721975124,0.5429999999999999,0.818,141014.96580842123
20,0.0,1.0,1.0,deterministic,0.1,tm_tw_refined_gated_offline,10,86.59151131928526,0.1590876175065602,0.018891781925267685,0.613,0.8560000000000001,132965.1017871976
20,0.0,1.0,1.0,deterministic,0.1,tm_tw_refined_offline,10,80.76444068256093,0.15996131246304607,0.019049897686770113,0.5559999999999999,0.812,177740.99796793092
20,0.0,1.0,1.0,deterministic,0.1,tm_tw_refined_support_offline,10,86.63901437871405,0.08414152278130797,3.083273802195924e-07,0.604,0.841,130148.2935648465
20,0.0,1.0,1.0,deterministic,0.1,tm_tw_support_offline,10,67.69392064412634,0.08494709508001783,3.062472865748947e-07,0.4419999999999999,0.6679999999999999,296935.0199562351
20,0.0,1.0,1.0,deterministic,0.1,tw_dense,10,64.78311509849888,0.23429210773034786,0.02503789489556251,0.413,0.619,322464.88012182806
20,0.0,1.0,1.0,deterministic,0.1,tw_gated_offline,10,68.39268139760908,0.1591425855072594,0.019003968914309985,0.46399999999999997,0.7330000000000001,287394.8887485339
20,0.0,1.0,1.0,deterministic,0.1,tw_offline,10,61.29457950680334,0.15814741184369635,0.018455179693244082,0.399,0.647,355693.21696319303
20,0.0,1.0,1.0,deterministic,0.1,tw_support_offline,10,63.4621114304176,0.08847873141289837,3.020694356514796e-07,0.42700000000000005,0.671,343779.894431642
20,0.1,1.0,1.0,deterministic,0.1,exp4_dense,10,75.17171787947731,0.2563978272369617,0.03210999035834984,0.483,0.7390000000000001,227381.15331651882
20,0.1,1.0,1.0,deterministic,0.1,global_ucb_tw_dense,10,56.13615892225533,0.24978609371978164,0.030250114780606935,0.349,0.603,387019.91870034795
