policy,seed,rounds,S,k,top_gap_lambda,transition_dominance,context_noise_level,transition_variant,trust_scale_mult,gate_scale_mult,gate_mode,beta_gate_concentration,trust_floor,trust_cap,support_mask_enabled,avg_reward,cum_reward,oracle_cum_reward,reward_pct_oracle,cum_regret,top1_agreement,top2_agreement,transition_l1_error,off_support_leakage,runtime_seconds,policy_label,experiment_id
tm_tw_refined,20263503,100,50,2,0.0,0.45,0.1,support_offline,1.0,1.0,deterministic,20.0,0.1,0.95,True,7277.180132964356,727718.0132964356,1018347.9462287738,71.46064525306682,290629.9329323382,0.53,0.72,0.08129535087907508,0.0011049382321952196,1.020084790999931,tm_tw_refined_support_offline,context_noise_refinement
oracle,20261647,100,50,2,0.0,0.45,0.1,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,11965.2482228003,1196524.82228003,1219096.34070935,98.14850412755841,22571.518429320073,0.92,0.99,0.31907284774321776,0.01650190114850187,0.023255124999991494,oracle,context_noise_refinement
state_thompson,20262545,100,50,2,0.0,0.45,0.1,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,6373.997786140942,637399.7786140941,1132075.5252265101,56.30364444868293,494675.746612416,0.3,0.48,0.31821519771472384,0.01650357154714133,0.02705108299994663,state_thompson,context_noise_refinement
global_ucb_tw,20262381,100,50,2,0.0,0.45,0.1,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,5351.485401074714,535148.5401074714,1214847.2344362522,44.050685957712716,679698.6943287808,0.35,0.63,0.31574986257780135,0.01640069204797374,1.0948763750000126,global_ucb_tw_dense,context_noise_refinement
local_ucb_tw,20262279,100,50,2,0.0,0.45,0.1,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,6959.813911519264,695981.3911519265,1093790.9434217555,63.630202401809676,397809.552269829,0.47,0.67,0.3170464351882497,0.016435921617146625,1.0972163339999952,local_ucb_tw_dense,context_noise_refinement
exp4,20261402,100,50,2,0.0,0.45,0.1,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,7774.94294804516,777494.294804516,1059288.76791613,73.3977663460012,281794.4731116139,0.48,0.73,0.3249353408372077,0.01681552886371687,1.0946476249999932,exp4_dense,context_noise_refinement
tw,20261252,100,50,2,0.0,0.45,0.1,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,6630.580296906751,663058.0296906751,1147917.1055653528,57.761838940810705,484859.07587467774,0.45,0.66,0.3227716752831961,0.016742653486026406,1.0952419999999847,tw_dense,context_noise_refinement
tm_tw,20261572,100,50,2,0.0,0.45,0.1,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,6689.675110515605,668967.5110515605,953473.8174895904,70.16107823630553,284506.30643802986,0.45,0.71,0.32316676330950633,0.016798861093535903,1.0707625839999082,tm_tw_dense,context_noise_refinement
tm_tw_refined,20262400,100,50,2,0.0,0.45,0.1,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,6081.839866368334,608183.9866368334,1038932.8813987046,58.539295225505,430748.8947618712,0.31,0.64,0.3214675656612586,0.016589222595487535,1.0712765419999641,tm_tw_refined_dense,context_noise_refinement
tw,20261464,100,50,2,0.0,0.45,0.1,offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,4873.994658993528,487399.4658993528,1093369.170269859,44.57775828625712,605969.7043705062,0.3,0.58,0.24783122538666552,0.012876495741915652,1.006907124999998,tw_offline,context_noise_refinement
tm_tw,20261784,100,50,2,0.0,0.45,0.1,offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,4687.617427724911,468761.7427724911,1061561.2092331043,44.15776864257646,592799.4664606131,0.34,0.57,0.2491922006956902,0.012967436011800353,1.0465762919999406,tm_tw_offline,context_noise_refinement
tm_tw_refined,20262612,100,50,2,0.0,0.45,0.1,offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,6420.710617136589,642071.0617136589,1060497.739360374,60.54431215486759,418426.6776467151,0.43,0.71,0.2511047503456276,0.013041563764353701,1.0180507909999506,tm_tw_refined_offline,context_noise_refinement
tw,20262076,100,50,2,0.0,0.45,0.1,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,5100.937198011738,510093.7198011738,1140767.2867873095,44.71496734778636,630673.5669861357,0.36,0.66,0.24986154360506754,0.01300266931272614,1.014492832999963,tw_gated_offline,context_noise_refinement
tm_tw,20262396,100,50,2,0.0,0.45,0.1,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,4680.437853748683,468043.7853748683,1076093.2892899124,43.494722068541,608049.5039150441,0.3,0.49,0.2509870475053683,0.01308845905456829,1.0349797919999446,tm_tw_gated_offline,context_noise_refinement
tm_tw_refined,20263224,100,50,2,0.0,0.45,0.1,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,7118.932039210399,711893.2039210399,1096223.5892466279,64.94051130666543,384330.38532558794,0.44,0.65,0.2482187125961801,0.012918277104569461,1.0686032080000132,tm_tw_refined_gated_offline,context_noise_refinement
tw,20262356,100,50,2,0.0,0.45,0.1,support_offline,1.0,1.0,deterministic,20.0,0.1,0.95,True,7343.6824105638,734368.24105638,1190791.4609719145,61.670600195351966,456423.2199155345,0.48,0.69,0.08304785098754107,0.0008126645725512506,1.0022523750000119,tw_support_offline,context_noise_refinement
tm_tw,20262676,100,50,2,0.0,0.45,0.1,support_offline,1.0,1.0,deterministic,20.0,0.1,0.95,True,5828.314449962024,582831.4449962024,1166060.7575336075,49.98293967365627,583229.3125374052,0.27,0.52,0.08727572487960526,0.0011188475894557228,1.0163805839999895,tm_tw_support_offline,context_noise_refinement
tm_tw_refined,20263504,100,50,2,0.0,0.45,0.1,support_offline,1.0,1.0,deterministic,20.0,0.1,0.95,True,5341.28320232293,534128.320232293,1076934.83216747,49.59708835466776,542806.5119351769,0.34,0.68,0.07893077123990934,0.0008370438628904,1.0057325419999188,tm_tw_refined_support_offline,context_noise_refinement
